"filename", "language", "JSON with Comments", "JSON", "JavaScript", "PostCSS", "Markdown", "Properties", "HTML", "XML", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-pointer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-police-car.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-rain.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-red-pointer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-road.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-snow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-sun.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-triangle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-warning.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\parking.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\signal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\time2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\traffic-light-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\trafficLight.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\turnleft.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\image\DOWN.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\a603\work\intelligent_traffic\frontend\src\assets\image\UP.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\AMap\Amap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 414, 49, 51, 514
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\AMap\index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
